title,price_text,price_birr,scraped_at,source,page
New Avatr 12 2025 White,"ETB 13,000,000",,2026-01-01T13:22:13.034122,Jiji Ethiopia,3
Suzuki Dzire 2022 Silver,"ETB 2,950,000",,2026-01-01T13:22:13.034122,Jiji Ethiopia,3
Toyota Sequoia 2023 Gold,"ETB 7,000,000",,2026-01-01T13:22:13.034122,Jiji Ethiopia,3
Toyota Corolla 2005 Silver,"ETB 2,300,000",,2026-01-01T13:22:13.035120,Jiji Ethiopia,3
Toyota Avanza 2015 Silver,"ETB 1,900,000",,2026-01-01T13:22:13.035120,Jiji Ethiopia,3
Suzuki Dzire 2022 Silver,"ETB 2,600,000",,2026-01-01T13:22:13.035120,Jiji Ethiopia,3
New Laptop Asus VivoBook 15 X505BA 16GB Intel Core I5 SSD 512GB,"ETB 39,000",,2026-01-01T13:22:13.035120,Jiji Ethiopia,3
Server HP ProLiant DL 64GB Intel Xeon SSHD (Hybrid) 2T,"ETB 280,000",,2026-01-01T13:22:13.035120,Jiji Ethiopia,3
New Laptop HP Pavilion 15 16GB Intel Core I7 SSD 512GB,"ETB 42,000",,2026-01-01T13:22:13.035120,Jiji Ethiopia,3
New Laptop HP ZBook Firefly G8 16GB Intel Core I7 SSD 512GB,"ETB 79,000",,2026-01-01T13:22:13.035120,Jiji Ethiopia,3
Oppo Reno 5 128 GB Black,"ETB 16,500",,2026-01-01T13:22:13.035120,Jiji Ethiopia,3
Tecno Spark 10 5G 256 GB Black,"ETB 15,000",,2026-01-01T13:22:13.035120,Jiji Ethiopia,3
New Samsung Galaxy Note 10 5G 256 GB Black,"ETB 29,999",,2026-01-01T13:22:13.035120,Jiji Ethiopia,3
New Nokia 5710 XpressAudio,"ETB 5,500",,2026-01-01T13:22:13.035120,Jiji Ethiopia,3
New Nokia 5310 XpressMusic,"ETB 5,500",,2026-01-01T13:22:13.036628,Jiji Ethiopia,3
Hyundai Bayon 2021 Silver,"ETB 3,650,000",,2026-01-01T13:22:13.036628,Jiji Ethiopia,3
Toyota FJ Cruiser 2008 Brown,"ETB 5,000,000",,2026-01-01T13:22:13.036628,Jiji Ethiopia,3
Hyundai Creta 2021 Gray,"ETB 4,800,000",,2026-01-01T13:22:13.036628,Jiji Ethiopia,3
Hyundai I10 2021 Brown,"ETB 2,650,000",,2026-01-01T13:22:13.036628,Jiji Ethiopia,3
Jetour X70 Plus 2022 White,"ETB 2,500,000",,2026-01-01T13:22:13.036628,Jiji Ethiopia,3
Hyundai Elantra 2017 Silver,"ETB 1,950,000",,2026-01-01T13:22:13.036628,Jiji Ethiopia,3
New Laptop Lenovo Ideapad 3 8GB Intel Core I5 SSD 256GB,"ETB 25,000",,2026-01-01T13:22:13.036628,Jiji Ethiopia,3
New Laptop HP Stream Notebook 16GB Intel Core I7 SSD 512GB,"ETB 820,000",,2026-01-01T13:22:13.037629,Jiji Ethiopia,3
Desktop Computer Dell OptiPlex 7010 16GB Intel Core I7 HDD+SSD 1T,"ETB 31,000",,2026-01-01T13:22:13.037629,Jiji Ethiopia,3
New Server 8GB SSD 256GB,"ETB 450,000",,2026-01-01T13:22:13.037629,Jiji Ethiopia,3
